"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"SV1" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Debaryomycetaceae" "g__Debaryomyces" NA
"SV2" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Cladosporiaceae" "g__Cladosporium" "s__tenuissimum"
"SV3" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Cladosporiaceae" "g__Cladosporium" NA
"SV4" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Cordyceps" "s__brongniartii"
"SV5" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Sporidiobolales" "f__Sporidiobolaceae" "g__Rhodotorula" "s__mucilaginosa"
"SV6" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" "s__victoriae"
"SV7" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Microascaceae" "g__Cephalotrichum" NA
"SV8" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Trichosporonales" "f__Trichosporonaceae" "g__Apiotrichum" NA
"SV9" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Aspergillus" NA
"SV10" "k__Fungi" NA NA NA NA NA NA
"SV11" "k__Fungi" NA NA NA NA NA NA
"SV12" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Plectosphaerella" "s__cucumerina"
"SV13" "k__Fungi" NA NA NA NA NA NA
"SV14" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Gibberella" "s__tricincta"
"SV15" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Didymella" "s__glomerata"
"SV16" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Polyporales" "f__Meruliaceae" "g__Bjerkandera" "s__adusta"
"SV17" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" "s__carnescens"
"SV18" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Debaryomycetaceae" "g__Debaryomyces" "s__hansenii"
"SV19" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Gibberella" "s__intricans"
"SV20" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Tremellaceae" "g__Cryptococcus" "s__uniguttulatus"
"SV21" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" NA NA NA NA
"SV22" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Cucurbitariaceae" "g__Pyrenochaetopsis" "s__pratorum"
"SV23" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" "g__Acremonium" "s__alternatum"
"SV24" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Polyporales" "f__Polyporaceae" "g__Lentinus" NA
