"","reads.in","reads.out"
"170714_M03291_0074_000000000-AV4VF_0_S188_L001_R1_001.fastq",146,63
"170714_M03291_0074_000000000-AV4VF_1_S169_L001_R1_001.fastq",249,218
"170714_M03291_0074_000000000-AV4VF_10_S15_L001_R1_001.fastq",36323,33198
"170714_M03291_0074_000000000-AV4VF_100_S44_L001_R1_001.fastq",44768,41046
"170714_M03291_0074_000000000-AV4VF_101_S45_L001_R1_001.fastq",276514,258196
"170714_M03291_0074_000000000-AV4VF_107_S29_L001_R1_001.fastq",8701,7936
"170714_M03291_0074_000000000-AV4VF_11_S16_L001_R1_001.fastq",79403,71909
"170714_M03291_0074_000000000-AV4VF_112_S30_L001_R1_001.fastq",82338,73294
"170714_M03291_0074_000000000-AV4VF_114_S31_L001_R1_001.fastq",29427,26961
"170714_M03291_0074_000000000-AV4VF_115_S32_L001_R1_001.fastq",29025,25831
"170714_M03291_0074_000000000-AV4VF_116_S33_L001_R1_001.fastq",110907,100304
"170714_M03291_0074_000000000-AV4VF_117_S34_L001_R1_001.fastq",122346,110412
"170714_M03291_0074_000000000-AV4VF_118_S35_L001_R1_001.fastq",13906,12363
"170714_M03291_0074_000000000-AV4VF_119_S144_L001_R1_001.fastq",88547,73594
"170714_M03291_0074_000000000-AV4VF_120_S145_L001_R1_001.fastq",23543,19934
"170714_M03291_0074_000000000-AV4VF_121_S115_L001_R1_001.fastq",28474,26374
"170714_M03291_0074_000000000-AV4VF_122_S116_L001_R1_001.fastq",16048,14771
"170714_M03291_0074_000000000-AV4VF_123_S117_L001_R1_001.fastq",54707,50836
"170714_M03291_0074_000000000-AV4VF_124_S118_L001_R1_001.fastq",2079,1874
"170714_M03291_0074_000000000-AV4VF_125_S119_L001_R1_001.fastq",19040,17468
"170714_M03291_0074_000000000-AV4VF_126_S120_L001_R1_001.fastq",45289,42006
"170714_M03291_0074_000000000-AV4VF_127_S121_L001_R1_001.fastq",23335,21914
"170714_M03291_0074_000000000-AV4VF_128_S122_L001_R1_001.fastq",34415,30796
"170714_M03291_0074_000000000-AV4VF_129_S123_L001_R1_001.fastq",1436,1300
"170714_M03291_0074_000000000-AV4VF_13_S17_L001_R1_001.fastq",8658,7649
"170714_M03291_0074_000000000-AV4VF_130_S124_L001_R1_001.fastq",498,453
"170714_M03291_0074_000000000-AV4VF_133_S99_L001_R1_001.fastq",1899,1703
"170714_M03291_0074_000000000-AV4VF_136_S86_L001_R1_001.fastq",7541,6759
"170714_M03291_0074_000000000-AV4VF_14_S18_L001_R1_001.fastq",44526,39079
"170714_M03291_0074_000000000-AV4VF_141_S87_L001_R1_001.fastq",6359,5688
"170714_M03291_0074_000000000-AV4VF_143_S88_L001_R1_001.fastq",5281,4639
"170714_M03291_0074_000000000-AV4VF_145_S85_L001_R1_001.fastq",30441,27029
"170714_M03291_0074_000000000-AV4VF_147_S84_L001_R1_001.fastq",7357,6436
"170714_M03291_0074_000000000-AV4VF_148_S76_L001_R1_001.fastq",24905,22754
"170714_M03291_0074_000000000-AV4VF_15_S19_L001_R1_001.fastq",34593,30750
"170714_M03291_0074_000000000-AV4VF_152_S36_L001_R1_001.fastq",62226,54890
"170714_M03291_0074_000000000-AV4VF_153_S37_L001_R1_001.fastq",5319,4875
