"","input","filtered","denoisedF","nonchim"
"0",146,63,43,43
"1",249,218,157,157
"10",36323,33198,33168,33144
"100",44768,41046,41015,40986
"101",276514,258196,258150,256056
"107",8701,7936,7703,7703
"11",79403,71909,71878,70779
"112",82338,73294,73207,72896
"114",29427,26961,26818,26818
"115",29025,25831,25515,25515
"116",110907,100304,100035,99149
"117",122346,110412,110300,108906
"118",13906,12363,12294,12294
"119",88547,73594,72367,72345
"120",23543,19934,18978,18978
"121",28474,26374,26324,26314
"122",16048,14771,14734,14734
"123",54707,50836,50772,50249
"124",2079,1874,1857,1857
"125",19040,17468,17439,17320
"126",45289,42006,41866,41776
"127",23335,21914,21895,21879
"128",34415,30796,30764,30764
"129",1436,1300,1286,1286
"13",8658,7649,7568,7174
"130",498,453,447,447
"133",1899,1703,1649,1649
"136",7541,6759,6458,6458
"14",44526,39079,38974,38967
"141",6359,5688,5364,5364
"143",5281,4639,4128,4128
"145",30441,27029,26823,26721
"147",7357,6436,5940,5940
"148",24905,22754,22422,22422
"15",34593,30750,30681,30681
"152",62226,54890,54828,54565
"153",5319,4875,4735,4735
"156",121433,108539,107772,106703
"157",971,725,664,664
"158",849,642,573,573
"159",233,186,142,142
"16",29664,26159,26120,24431
"160",165,129,83,83
"161",335,192,161,161
"162",197,124,101,101
"163",160,112,85,85
"164",253,157,118,118
"165",204,157,133,133
"167",454,288,248,248
"168",3809,3433,3416,3416
"168",33166,30557,30541,30328
"169",216,112,72,72
"17",44736,39310,39223,37187
"170",3967,3627,3596,3584
"171",3922,3520,3510,3510
"171",9564,8713,8701,8655
"172",150,68,51,51
"173",1191,975,971,971
"174",328209,300491,300057,283757
"178",4,1,1,1
"18",981,772,741,741
"187",36577,28974,28916,28916
"194",55367,51722,51652,51495
"195",40883,38227,38111,37997
"197",1064,954,912,912
"198",1944,1750,1703,1703
"199",35627,33091,33009,33009
"2",295,237,163,163
"200",3517,2900,2801,2801
"201",319,164,132,132
"202",6463,6023,6003,6003
"203",127345,118367,118202,117725
"204",42079,39088,38981,38977
"205",1177,1069,1021,1021
"207",9243,8512,8479,8479
"208",3688,3193,3004,3004
"209",6539,5382,5003,5003
"21",36691,33402,33340,32783
"210",5862,5182,4845,4845
"212",59654,53185,53132,52945
"213",17123,15927,15838,15307
"215",62645,58676,58586,57820
"216",21944,20227,20116,19965
"217",87720,80712,80580,79594
"218",40421,37526,37427,37201
"22",104304,93076,92938,91000
"220",52510,44571,43548,43290
"221",11682,10629,10483,10483
"222",54127,50641,50584,50458
"223",99936,93563,93474,93465
"224",38988,36124,36047,35963
"227",94429,87994,87913,87783
"228",102786,96210,96159,96159
"23",46381,42209,42010,41980
"231",21789,18909,18724,18697
"232",60,14,5,5
"233",58,41,19,19
"234",135076,118848,118226,117877
"238",4297,3251,3183,3183
"240",28467,23439,23383,23383
"242",13837,8480,8427,8427
"243",5818,740,722,722
"244",8855,1484,1449,1449
"245",130826,50543,50501,50377
"246",48224,40969,40764,40741
"247",2601,1992,1931,1931
"248",49000,38267,38185,37714
"25",134103,122683,122550,120935
"252",4827,3992,3949,3949
"256",2758,2155,2147,2147
"257",1284,210,188,188
"258",3588,3156,3130,3130
"261",967,796,782,782
"263",2926,2639,2627,2627
"264",2204,2050,2030,2030
"268",6234,4883,4769,4764
"27",10388,9214,9064,8983
"277",5633,2617,2599,2599
"278",48885,45399,45344,45289
"28",80859,73997,73906,73141
"280",106487,100162,100108,99962
"282",93558,87701,87458,87458
"283",14191,12884,12818,12818
"288",362,305,284,284
"294",255260,233447,232776,227378
"297",12884,11669,11551,11551
"3",343,214,166,166
"302",49165,45636,45486,44697
"307",212073,191644,191124,185391
"309",93053,82212,81900,78340
"31",6,4,2,2
"310",111106,100833,100516,98197
"312",2244,1598,1579,1579
"318",99989,87245,87167,86838
"319",43383,36721,36575,36575
"326",23972,20019,19940,19940
"336",7285,6465,6408,6408
"338",246,210,163,163
"34",66101,60305,60272,60192
"35",346023,316267,316228,313595
"36",73801,68184,68146,68146
"366",559,482,430,430
"368",36416,34013,33978,33900
"369",23727,20364,20237,20237
"371",2526,2242,2206,2206
"372",11454,9445,9397,9397
"375",2677,2342,2214,2214
"377",3921,3519,3385,3385
"378",5552,4928,4874,4874
"379",2644,2319,2223,2223
"382",1014,892,823,823
"383",18,17,12,12
"384",18768,17205,17066,17046
"4",282473,254946,254832,253383
"42",37732,34776,34654,34544
"5",104300,95699,95499,94110
"54",56516,49887,48356,48068
"56",187,177,174,174
"57",859,807,793,793
"6",10320,9196,9142,9142
"60",531,466,453,453
"61",42831,40111,39920,39920
"62",1651,1483,1470,1470
"63",1506,1024,952,952
"64",1257,721,684,684
"7",481806,437474,437291,433092
"70",2250,2110,2093,2093
"71",29460,27678,27629,27480
"72",219,171,159,159
"73",907,781,739,739
"74",1163,990,965,965
"77",36905,31383,30421,30421
"8",41532,36871,36819,34548
"81",34249,29178,29114,29009
"82",44398,37990,37929,37872
"85",35675,33067,33030,32910
"86",64303,60249,60187,59365
"87",17319,15060,15030,15010
"89",69859,65542,65485,65323
"9",210733,188090,187987,182545
"91",2317,1811,1693,1693
"92",647,557,514,514
"92a",158,131,110,110
"97",120014,111601,111570,111482
"mock1",144129,126770,126715,120708
"mock2",176701,156697,156642,151944
"mock3",263797,233542,233358,220528
"NC",344,153,136,136
"NC",329,174,155,155
"NC",921,156,143,143
"NC",243,143,114,114
"NC",263,110,84,84
"NC",259,182,166,166
"posC1",85557,7642,7637,7637
"posC2",153294,13031,13017,13017
"posC3",298066,26341,26323,26323
